Tweet,Date
"Got $1.6 Billion to start Wall on Southern Border, rest will be forthcoming. Most importantly, got $700 Billion to rebuild our Military, $716 Billion next year...most ever. Had to waste money on Dem giveaways in order to take care of military pay increase and new equipment.",21-Mar
".....They can help solve problems with North Korea, Syria, Ukraine, ISIS, Iran and even the coming Arms Race. Bush tried to get along, but didnâ€™t have the â€œsmarts.â€ù Obama and Clinton tried, but didnâ€™t have the energy or chemistry (remember RESET). PEACE THROUGH STRENGTH!",21-Mar
"I called President Putin of Russia to congratulate him on his election victory (in past, Obama called him also). The Fake News Media is crazed because they wanted me to excoriate him. They are wrong! Getting along with Russia (and others) is a good thing, not a bad thing.......",21-Mar
"â€œSpecial Council is told to find crimes, whether a crime exists or not. I was opposed to the selection of Mueller to be Special Council. I am still opposed to it. I think President Trump was right when he said there never should have been a Special Council appointed because.....",21-Mar
"...there was no probable cause for believing that there was any crime, collusion or otherwise, or obstruction of justice!â€ù  So stated by Harvard Law Professor Alan Dershowitz.",21-Mar
Department of Justice should have urged the Supreme Court to at least hear the Drivers License case on illegal immigrants in Arizona. I agree with @LouDobbs. Should have sought review.,21-Mar
AUSTIN BOMBING SUSPECT IS DEAD. Great job by law enforcement and all concerned!,21-Mar
"Our Nation was founded by farmers. Our independence was won by farmers. And our continent was tamed by farmers. Our farmers always lead the way -- we are PROUD of them, and we are DELIVERING for them! #NationalAgricultureDay",20-Mar
The Democrats do not want to help DACA. Would be so easy to make a deal!,19-Mar
"The opioid crisis has created stories of despair of shock, but also stories of recovery & hope. President Trump is asking every Americans to share their story to overcome stigma, & begin to fight against the Crisis Next Door.Visit http://45.wh.gov/CrisisNextDoor  & share your story.",19-Mar
A total WITCH HUNT with massive conflicts of interest!,19-Mar
.@seanhannity on @foxandfriends now! Great! 8:18 A.M.,19-Mar
"Why does the Mueller team have 13 hardened Democrats, some big Crooked Hillary supporters, and Zero Republicans? Another Dem recently added...does anyone think this is fair? And yet, there is NO COLLUSION!",18-Mar
"Spent very little time with Andrew McCabe, but he never took notes when he was with me. I donâ€™t believe he made memos except to help his own agenda, probably at a later date. Same with lying James Comey. Can we call them Fake Memos?",18-Mar
"Wow, watch Comey lie under oath to Senator G when asked â€œhave you ever been an anonymous source...or known someone else to be an anonymous source...?â€ù He said strongly â€œnever, no.â€ù He lied as shown clearly on @foxandfriends.",18-Mar
"The Mueller probe should never have been started in that there was no collusion and there was no crime. It was based on fraudulent activities and a Fake Dossier paid for by Crooked Hillary and the DNC, and improperly used in FISA COURT for surveillance of my campaign. WITCH HUNT!",17-Mar
"The Fake News is beside themselves that McCabe was caught, called out and fired. How many hundreds of thousands of dollars was given to wifeâ€™s campaign by Crooked H friend, Terry M, who was also under investigation? How many lies? How many leaks? Comey knew it all, and much more!",17-Mar
"As the House Intelligence Committee has concluded, there was no collusion between Russia and the Trump Campaign. As many are now finding out, however, there was tremendous leaking, lying and corruption at the highest levels of the FBI, Justice & State. #DrainTheSwamp",17-Mar
Happy #StPatricksDay,17-Mar
"Andrew McCabe FIRED, a great day for the hard working men and women of the FBI - A great day for Democracy. Sanctimonious James Comey was his boss and made McCabe look like a choirboy. He knew all about the lies and corruption going on at the highest levels of the FBI!",16-Mar
â€œU.S. Consumer Confidence Hits 14-Year Highâ€ù,16-Mar
"It would be great for the Republican Party of Nevada, and itâ€™s unity if good guy Danny Tarkanian would run for Congress and Dean Heller, who is doing a really good job, could run for Senate unopposed!",16-Mar
Our thoughts and prayers go out to the families and loved ones of the brave troops lost in the helicopter crash on the Iraq-Syria border yesterday. Their sacrifice in service to our country will never be forgotten.,16-Mar
â€œPresident Donald J. Trump Delivers Remarks at the ShamrockBowl Presentation by Prime Minister Varadkar in the East Room of the White Houseâ€ù ,15-Mar
Continuing to monitor the heartbreaking bridge collapse at FIU - so tragic. Many brave First Responders rushed in to save lives. Thank you for your courage. Praying this evening for all who are affected.,15-Mar
It was my honor to welcome Prime Minister Leo Varadkar of Ireland to the @WhiteHouse!,15-Mar
"Yesterday, five @Cabinet Secretaries testified on the Hill on the need to rebuild our Nation's crumbling infrastructure. President Trumpâ€™s plan will renew our countryâ€™s once-great infrastructure and help build a more prosperous future for all Americans.",15-Mar
"We do have a Trade Deficit with Canada, as we do with almost all countries (some of them massive). P.M. Justin Trudeau of Canada, a very good guy, doesnâ€™t like saying that Canada has a Surplus vs. the U.S.(negotiating), but they do...they almost all do...and thatâ€™s how I know!",15-Mar
"Larry Kudlow will be my Chief Economic Advisor as Director of the National Economic Council. Our Country will have many years of Great Economic & Financial Success, with low taxes, unparalleled innovation, fair trade and an ever expanding labor force leading the way! #MAGA",15-Mar
"Please join me with your thoughts and prayers for both aviators, their families and our incredible @USNavy.",14-Mar
It was wonderful to be back in Missouri where our push for historic TAX CUTS all began. Six months ago I promised that we would cut taxes to bring Main Street roaring back - and that is exactly what is happening!,14-Mar
"Together, we are MAKING AMERICA GREAT AGAIN!",14-Mar
Today the House took major steps toward securing our schools by passing the STOP School Violence Act. We must put the safety of America's children FIRST by improving training and by giving schools and law enforcement better tools. A tragedy like Parkland can't happen ever again!,14-Mar
Thank you for hosting! #MAGA,14-Mar
We cannot keep a blind eye to the rampant unfair trade practices against our Country!,14-Mar
Five of our incredible @Cabinet Secretaries are testifying on the Hill this morning on the need to rebuild our Nationâ€™s crumbling infrastructure. We need to build FAST & we need to build for our FUTURE. Thank you @SenateCommerce for hosting this hearing! #InfrastructureInAmerica,14-Mar
Perhaps at no time in history have the business fundamentals of U.S. companies been better than they are today!,14-Mar
"Hundreds of good people, including very important Ambassadors and Judges, are being blocked and/or slow walked by the Democrats in the Senate. Many important positions in Government are unfilled because of this obstruction. Worst in U.S. history!",14-Mar
"All across this nation, we pray for our country and we THANK GOD for our United States Marines! Thank you. God Bless You. And God Bless America!",13-Mar
"It was my great honor to deliver a message at the Marine Corps Air Station Miramar to our GREAT U.S. Military, straight from the heart of the American People: We support you, we thank you, we love you - and we will always have your back!",13-Mar
"If we donâ€™t have a wall system, weâ€™re not going to have a country. Congress must fund the BORDER WALL & prohibit grants to sanctuary jurisdictions that threaten the security of our country & the people of our country. We must enforce our laws & protect our people! #BuildTheWall",13-Mar
"Californiaâ€™s sanctuary policies are illegal and unconstitutional and put the safety and security of our entire nation at risk. Thousands of dangerous & violent criminal aliens are released as a result of sanctuary policies, set free to prey on innocent Americans. THIS MUST STOP!",13-Mar
"â€œAccording to the Center for Immigration Studies, the $18 billion wall will pay for itself by curbing the importation of crime, drugs and illegal immigrants who tend to go on the federal dole...â€ù",13-Mar
Heading to see the BORDER WALL prototypes in California!,13-Mar
"Mike Pompeo, Director of the CIA, will become our new Secretary of State. He will do a fantastic job! Thank you to Rex Tillerson for his service! Gina Haspel will become the new Director of the CIA, and the first woman so chosen. Congratulations to all!",13-Mar
"The Economy is raging, at an all time high, and is set to get even better. Jobs and wages up. Vote for Rick Saccone and keep it going!",13-Mar
"THE HOUSE INTELLIGENCE COMMITTEE HAS, AFTER A 14 MONTH LONG IN-DEPTH INVESTIGATION, FOUND NO EVIDENCE OF COLLUSION OR COORDINATION BETWEEN THE TRUMP CAMPAIGN AND RUSSIA TO INFLUENCE THE 2016 PRESIDENTIAL ELECTION.",12-Mar
It was my great honor to welcome the 2017 World Series Champion Houston @Astros to the @WhiteHouse! #HoustonStrong,12-Mar
"The Pittsburgh Post Gazette just endorsed Rick Saccone for Congress. He will be much better for steel and business. Very strong on experience and what our Country needs. Lamb will always vote for Pelosi and Dems....Will raise taxes, weak on Crime and Border.",12-Mar
"If schools are mandated to be gun free zones, violence and danger are given an open invitation to enter. Almost all school shootings are in gun free zones. Cowards will only go where there is no deterrent!",12-Mar
"....On 18 to 21 Age Limits, watching court cases and rulings before acting. States are making this decision. Things are moving rapidly on this, but not much political support (to put it mildly).",12-Mar
"Very strong improvement and strengthening of background checks will be fully backed by White House. Legislation moving forward. Bump Stocks will soon be out. Highly trained expert teachers will be allowed to conceal carry, subject to State Law. Armed guards OK, deterrent!.......",12-Mar
Secretary of Commerce Wilbur Ross will be speaking with representatives of the European Union about eliminating the large Tariffs and Barriers they use against the U.S.A. Not fair to our farmers and manufacturers.,12-Mar
"Rasmussen and others have my approval ratings at around 50%, which is higher than Obama, and yet the political pundits love saying my approval ratings are â€œsomewhat low.â€ù They know they are lying when they say it. Turn off the show - FAKE NEWS!",11-Mar
"The Democrats continue to Obstruct the confirmation of hundreds of good and talented people who are needed to run our government...A record in U.S. history. State Department, Ambassadors and many others are being slow walked. Senate must approve NOW!",11-Mar
"The Republicans are 5-0 in recent Congressional races, a point which the Fake News Media continuously fails to mention. I backed and campaigned for all of the winners. They give me credit for one. Hopefully, Rick Saccone will be another big win on Tuesday.",11-Mar
"...have shown conclusively that there was no Collusion with Russia..just excuse for losing. The only Collusion was that done by the DNC, the Democrats and Crooked Hillary. The writer of the story, Maggie Haberman, a Hillary flunky, knows nothing about me and is not given access.",11-Mar
"The Failing New York Times purposely wrote a false story stating that I am unhappy with my legal team on the Russia case and am going to add another lawyer to help out. Wrong. I am VERY happy with my lawyers, John Dowd, Ty Cobb and Jay Sekulow. They are doing a great job and.....",11-Mar
"Epic crowd in Moon Township, Pennsylvania tonight. Thank you! Get out on Tuesday and VOTE for Rick @Saccone4PA18. Together, we are MAKING AMERICA GREAT AGAIN!",10-Mar
"Join me LIVE in Moon Township, Pennsylvania at 7:00pmE. Great crowd for a #MAGA rally!https://www.facebook.com/DonaldTrump/videos/10160713139290725/ â€_",10-Mar
"The European Union, wonderful countries who treat the U.S. very badly on trade, are complaining about the tariffs on Steel & Aluminum. If they drop their horrific barriers & tariffs on U.S. products going in, we will likewise drop ours. Big Deficit. If not, we Tax Cars etc. FAIR!",10-Mar
"In the first hours after hearing that North Koreaâ€™s leader wanted to meet with me to talk denuclearization and that missile launches will end, the press was startled & amazed.They couldnâ€™t believe it. But by the following morning the news became FAKE.They said so what, who cares!",10-Mar
"North Korea has not conducted a Missile Test since November 28, 2017 and has promised not to do so through our meetings. I believe they will honor that commitment!",10-Mar
"Heading to Moon Township, Pennsylvania, to be with a really good person, State Representative Rick Saccone, who is running for Congress. Big & happy crowd (why not, some of the best economic numbers ever). Rick will help me a lot. Also, tough on crime & border. Loves 2nd A & VETS",10-Mar
"Spoke to Prime Minister Abe of Japan, who is very enthusiastic about talks with North Korea. Also discussing opening up Japan to much better trade with the U.S. Currently have a massive $100 Billion Trade Deficit. Not fair or sustainable. It will all work out!",10-Mar
Chinese President XI JINPING and I spoke at length about the meeting with KIM JONG UN of North Korea. President XI told me he appreciates that the U.S. is working to solve the problem diplomatically rather than going with the ominous alternative. China continues to be helpful!,10-Mar
"Congratulations to Kristian Saucier, a man who has served proudly in the Navy, on your newly found Freedom. Now you can go out and have the life you deserve!",10-Mar
We are deeply saddened by the tragic situation in Yountville and mourn the loss of three incredible women who cared for our Veterans.,10-Mar
"The deal with North Korea is very much in the making and will be, if completed, a very good one for the World. Time and place to be determined.",9-Mar
"Spoke to PM @TurnbullMalcolm of Australia. He is committed to having a very fair and reciprocal military and trade relationship. Working very quickly on a security agreement so we donâ€™t have to impose steel or aluminum tariffs on our ally, the great nation of Australia!",9-Mar
"Thatâ€™s right @RepBost! Thank you for your support in helping put America back to work. Itâ€™s about JOBS, JOBS, JOBS for our incredible workers and putting AMERICA FIRST!",9-Mar
Look forward to being in Pennsylvania tomorrow in support of Rick @Saccone4PA18. Big crowd expected in Moon Township. Vote Rick and see you there! #MAGA,9-Mar
"JOBS, JOBS, JOBS! #MAGA",9-Mar
"Kim Jong Un talked about denuclearization with the South Korean Representatives, not just a freeze. Also, no missile testing by North Korea during this period of time. Great progress being made but sanctions will remain until an agreement is reached. Meeting being planned!",8-Mar
"â€œPresidential Proclamation on Adjusting Imports of Aluminum into the United Statesâ€ù  Proclamation: http://45.wh.gov/Aluminum Remarks: http://45.wh.gov/SteelAluminumRemarks â€_",8-Mar
"â€œPresidential Proclamation on Adjusting Imports of Steel into the United Statesâ€ù Proclamation: http://45.wh.gov/Steel Remarks: http://45.wh.gov/SteelAluminumRemarks â€_",8-Mar
Great meeting with @Cabinet at the @WhiteHouse today! #MAGA,8-Mar
"Happy #InternationalWomensDayâ€œFirst Lady Melania Trump to Present the 2018 International Women of Courage Awardâ€ù",8-Mar
Looking forward to 3:30 P.M. meeting today at the White House. We have to protect & build our Steel and Aluminum Industries while at the same time showing great flexibility and cooperation toward those that are real friends  and treat us fairly on both trade and the military.,8-Mar
The U.S. is acting swiftly on Intellectual Property theft. We cannot allow this to happen as it has for many years!,7-Mar
"China has been asked to develop a plan for the year of a One Billion Dollar reduction in their massive Trade Deficit with the United States. Our relationship with China has been a very good one, and we look forward to seeing what ideas they come back with. We must act soon!",7-Mar
"From Bush 1 to present, our Country has lost more than 55,000 factories, 6,000,000 manufacturing jobs and accumulated Trade Deficits of more than 12 Trillion Dollars. Last year we had a Trade Deficit of almost 800 Billion Dollars. Bad Policies & Leadership. Must WIN again!  #MAGA",7-Mar
"Great couple, great book!",7-Mar
Will be making a decision soon on the appointment of new Chief Economic Advisor. Many people wanting the job - will choose wisely!,6-Mar
"Possible progress being made in talks with North Korea. For the first time in many years, a serious effort is being made by all parties concerned. The World is watching and waiting! May be false hope, but the U.S. is ready to go hard in either direction!",6-Mar
"Federal Judge in Maryland has just ruled that â€œPresident Trump has the right to end DACA.â€ù President Obama had 8 years to fix this problem, and didnâ€™t. I am waiting for the Dems, they are running for the hills!",6-Mar
"Lowest rated Oscars in HISTORY. Problem is, we donâ€™t have Stars anymore - except your President (just kidding, of course)!",6-Mar
"Congratulations @FoxNews: Fox has 15 of the top 20 shows with @SeanHannity and @TuckerCarlson leading the pack at 1st and 2nd respectively. CNN has become totally irrelevant, down 19% from last year with only 1 show in the Top 25 (#24th).",5-Mar
We will see what happens!,6-Mar
We are getting it done - jobs and security!,6-Mar
Total inaction on DACA by Dems. Where are you? A deal can be made!,6-Mar
"The new Fake News narrative is that there is CHAOS in the White House. Wrong! People will always come & go, and I want strong dialogue before making a final decision. I still have some people that I want to change (always seeking perfection). There is no Chaos, only great Energy!",6-Mar
"Itâ€™s March 5th and the Democrats are nowhere to be found on DACA. Gave them 6 months, they just donâ€™t care. Where are they? We are ready to make a deal!",5-Mar
"Why did the Obama Administration start an investigation into the Trump Campaign (with zero proof of wrongdoing) long before the Election in November? Wanted to discredit so Crooked H would win. Unprecedented. Bigger than Watergate! Plus, Obama did NOTHING about Russian meddling.",5-Mar
To protect our Country we must protect American Steel! #AMERICA FIRST,5-Mar
...treat our farmers much better. Highly restrictive. Mexico must do much more on stopping drugs from pouring into the U.S. They have not done what needs to be done. Millions of people addicted and dying.,5-Mar
"We have large trade deficits with Mexico and Canada. NAFTA, which is under renegotiation right now, has been a bad deal for U.S.A. Massive relocation of companies & jobs. Tariffs on Steel and Aluminum will only come off if new & fair NAFTA agreement is signed. Also, Canada must..",5-Mar
"We are on the losing side of almost all trade deals. Our friends and enemies have taken advantage of the U.S. for many years. Our Steel and Aluminum industries are dead. Sorry, itâ€™s time for a change! MAKE AMERICA GREAT AGAIN!",4-Mar
"The Gridiron Dinner last night was great fun. I am accomplishing a lot in Washington and have never had a better time doing something, and especially since this is for the American People!",4-Mar
"If the E.U. wants to further increase their already massive tariffs and barriers on U.S. companies doing business there, we will simply apply a Tax on their Cars which freely pour into the U.S. They make it impossible for our cars (and more) to sell there. Big trade imbalance!",3-Mar
The United States has an $800 Billion Dollar Yearly Trade Deficit because of our â€œvery stupidâ€ù trade deals and policies. Our jobs and wealth are being given to other countries that have taken advantage of us for years. They laugh at what fools our leaders have been. No more!,3-Mar
Mainstream Media in U.S. is being mocked all over the world. Theyâ€™ve gone CRAZY!,3-Mar
Happy National Anthem Day!,3-Mar
REST IN PEACE BILLY GRAHAM!,2-Mar
"When a country Taxes our products coming in at, say, 50%, and we Tax the same product coming into our country at ZERO, not fair or smart. We will soon be starting RECIPROCAL TAXES so that we will charge the same thing as they charge us. $800 Billion Trade Deficit-have no choice!",2-Mar
"We must protect our country and our workers. Our steel industry is in bad shape. IF YOU DONâ€™T HAVE STEEL, YOU DONâ€™T HAVE A COUNTRY!",2-Mar
"Eric, we are all with you and your family! Look forward to seeing you back on T.V.",2-Mar
"Alec Baldwin, whose dying mediocre career was saved by his terrible impersonation of me on SNL, now says playing me was agony. Alec, it was agony for those who were forced to watch. Bring back Darrell Hammond, funnier and a far greater talent!",2-Mar
"When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with, trade wars are good, and easy to win. Example, when we are down $100 billion with a certain country and they get cute, donâ€™t trade anymore-we win big. Itâ€™s easy!",2-Mar
Good (Great) meeting in the Oval Office tonight with the NRA!,1-Mar
My OpEd on the importance of #YouthSports participation and how this Administration is seeking to lift barriers so all our nationâ€™s children can engage in sports and play:,27-Feb
â€œTrump Comes Through â€” Saves $1.4 Billion On New Air Force Oneâ€ù,27-Feb
Manufacturing growing at the fastest pace in almost two decades!,1-Mar
Jobless claims at a 49 year low!,1-Mar
"Together, we will face this challenge as a national family with conviction, with unity, and with a commitment to love and support our neighbors in times of dire need. Working together, we will defeat this #OpioidEpidemic.Full Opioid Summit: http://45.wh.gov/apMkN9 ",1-Mar
â€œConsumer Confidence in February Highest Since November 2000â€ù,1-Mar
â€œManufacturing in U.S. Expands at Fastest Pace Since May 2004â€ù,1-Mar
"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA",1-Mar
"Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy with countries from around the world. We must not let our country, companies and workers be taken advantage of any longer. We want free, fair and SMART TRADE!",1-Mar
"Many ideas, some good & some not so good, emerged from our bipartisan meeting on school safety yesterday at the White House. Background Checks a big part of conversation. Gun free zones are proven targets of killers. After many years, a Bill should emerge. Respect 2nd Amendment!",1-Mar
"It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As we continue to mourn the loss of so many precious young lives in Parkland, we are determined to turn our grief into action. Full meeting: http://45.wh.gov/BipartisanMtg ",28-Feb
"Today we honor Billy Graham as only three private citizens before him have been honored. We say a prayer for our country: that all across this land, the Lord will raise up men and women like Billy Graham to spread a message of love and hope to every precious child of God.",28-Feb
"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los Angeles, to one hundred thousand people in a single day at Yankee Stadium, to more than two million people at Madison Square Garden over sixteen weeks in 1957...",28-Feb
"Today, in the center of this great Chamber lies Billy Graham â€“ an Ambassador for Christ who reminded the world of the power of prayer and the gift of Godâ€™s grace.",28-Feb
"Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take forever, has no prosecutorial power and already late with reports on Comey etc. Isnâ€™t the I.G. an Obama guy? Why not use Justice Department lawyers? DISGRACEFUL!",28-Feb
45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Country. MS-13 thugs being hit hard.,28-Feb
I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is approved. Big victory yesterday with ruling from the courts that allows us to proceed. OUR COUNTRY MUST HAVE BORDER SECURITY!,28-Feb
"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reagan. â€œWeâ€™re blown away,â€ù said Thomas Binion of Heritage, President Trump â€œis very active, very conservative and very effective. Huge volume & spectrum of issues.â€ù",28-Feb
Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government from building a great Border Wall on the Southern Border. Now this important project can go forward!,27-Feb
"Such a beautiful map, thank you!",27-Feb
.@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill done and approved. Also big help on cutting regs. I am with him in his re-election all the way!,27-Feb
"Texas LC George P. Bush backed me when it wasnâ€™t the politically correct thing to do, and I back him now. Also, AC Sid Miller has been with me from the beginning, he is â€œTrumpâ€™s Man in Texas.â€ù Also support Comptroller Glenn Hegar, and Railroad Commissioner Christi Craddick.",27-Feb
â€œAmerican consumers are the most confident they've been since 2000....A strong job market is boosting confidence. The unemployment rate has stayed at a 17-year low.â€ù,27-Feb
"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz, Lt. Gov. Dan Patrick, and Attorney General Ken Paxton. They are helping me to Make America Great Again! Vote early or on March 6th.",27-Feb
WITCH HUNT!,27-Feb
"â€œWeâ€™ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, that suggests that the President has obstructed justice because heâ€™s exercising his power as the President of the U.S. I just donâ€™t see it.â€ù  Judge Ken Starr",27-Feb
"â€œIâ€™ve been skeptical about the collusion and obstruction claims for the last year. I just donâ€™t see the evidence....in terms of the collusion, itâ€™s all a bit implausible based on the evidence we have.â€ù  Jonathan Turley on @FoxNews",27-Feb
"â€œHeâ€™s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clintonâ€™s criminality at her own hands, or through others, that ought to be investigated. I fully agree with the President on that.â€ù @judgenapolitano on @marthamaccallum Show",27-Feb
Merit-based immigration reform will benefit American workers and relieve the strain imposed by our current system on Federal resources. More: http://45.wh.gov/3h2z8u ,25-Feb
,24-Feb
"President @realDonaldTrump on Dem FISA memo: ""A lot of bad things happened on the other side, not on this side, but the other side. And somebody should look into it because what they did was really fraudulent.""",24-Feb
"President @realDonaldTrump on DACA: ""I'm the one that's pushing DACA and the Democrats are nowhere to be found.""",24-Feb
I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!,24-Feb
"â€œCongressman Schiff omitted and distorted key factsâ€ù @FoxNews  So, what else is new. He is a total phony!",24-Feb
"â€œRussians had no compromising information on Donald Trumpâ€ù @FoxNews  Of course not, because there is none, and never was. This whole Witch Hunt is an illegal disgrace...and Obama did nothing about Russia!",24-Feb
Dem Memo: FBI did not disclose who the clients were - the Clinton Campaign and the DNC. Wow!,24-Feb
The Democrat memo response on government surveillance abuses is a total political and legal BUST. Just confirms all of the terrible things that were done. SO ILLEGAL!,24-Feb
BIG CPAC STRAW POLL RESULTS: 93% APPROVE OF THE JOB PRESIDENT TRUMP IS DOING (Thank you!). 50% say President Trump should Tweet MORE or SAME (funny!). 79% say Republicans in Congress should do a better job of working with President Trump (starting to happen).,24-Feb
"Dems are no longer talking DACA! â€œOut of sight, out of mind,â€ù they say. DACA beneficiaries should not be happy. Nancy Pelosi truly doesnâ€™t care about them. Republicans stand ready to make a deal!",24-Feb
Unemployment claims are at the lowest level since 1973. Much of this has to do with the massive cutting of unnecessary and job killing Regulations!,24-Feb
Democrat judges have totally redrawn election lines in the great State of Pennsylvania. @FoxNews. This is very unfair to Republicans and to our country as a whole. Must be appealed to the United States Supreme Court ASAP!,24-Feb
Armed Educators (and trusted people who work within a school) love our students and will protect them. Very smart people. Must be firearms adept & have annual training. Should get yearly bonus. Shootings will not happen again - a big & very inexpensive deterrent. Up to States.,24-Feb
I will be strongly pushing Comprehensive Background Checks with an emphasis on Mental Health. Raise age to 21 and end sale of Bump Stocks! Congress is in a mood to finally do something on this issue - I hope!,22-Feb
"So true Wayne, and Lowest black unemployment in history!",24-Feb
Thank you to the great men and women of the United States @SecretService for a job well done!,23-Feb
"Today, @FLOTUS Melania and I were honored to welcome Prime Minister @TurnbullMalcolm and Mrs. Turnbull of Australia to the @WhiteHouse!Press Conference: http://45.wh.gov/eP8du1 ",23-Feb
"Our nationâ€™s motto is IN GOD WE TRUST. This week, our nation lost an incredible leader who devoted his life to helping us understand what those words really mean. We will never forget the historic crowds, the voice, the energy, and the profound faith of Billy Graham! #CPAC2018",23-Feb
"We salute our great American flag, we put our hands on our hearts for the pledge of Allegiance, and we all PROUDLY STAND for the National Anthem. #CPAC2018",23-Feb
"After years of rebuilding OTHER nations, we are finally rebuilding OUR nation - and we are restoring our confidence and our pride! #CPAC2018",23-Feb
"For those of you who are still interested, the Democrats have totally forgotten about DACA. Not a lot of interest on this subject from them!",23-Feb
"My daughter, Ivanka, just arrived in South Korea. We cannot have a better, or smarter, person representing our country.",23-Feb
CPAC Today!,23-Feb
